user_id,movie_id,rating
123,426063,6.7
123,10016,5.1
123,28893,5.3
123,561,7.1
123,627290,6.2
123,1226578,6.595
123,9529,6.612
123,10428,6.354
123,9271,5.5
123,13122,6.5
123,46175,6.3
123,38,8.093
123,64682,7.4
123,111,8.162
123,2757,7.4
123,638,7.6
123,1155281,6.1
123,49517,6.621
123,456740,5.57
123,346364,7.2
123,328425,6.689
123,426063,6.7
123,110415,6.9
123,12150,6.6
123,1903,6.8
123,766,7.248
123,426063,6.7
123,619778,6.8
123,406990,7.2
123,11639,7.1
123,559907,6.6
123,933260,7.141
123,393,7.9
123,24,8.0
123,34584,7.201
123,121856,5.427
123,96721,7.7
123,8009,6.9
123,11878,8.09
123,8843,6.271
123,138,7.154
123,59189,6.328
123,1029281,6.938
123,9833,7.252
123,807,8.374
123,639933,7.048
123,1084736,8.1
123,2061,6.99
123,726139,7.0
123,747,7.5
123,1091267,5.6
123,21484,7.4
123,592831,5.3
123,838209,7.5
123,1034541,6.9
123,11601,6.677
123,1923,7.4
123,6977,7.946
123,49057,5.6
123,726333,0.0
123,945961,7.222
123,3035,7.5
123,422,8.1
123,9479,7.837
123,34996,6.4
123,9682,5.0
123,847,7.0
123,933260,7.141
123,2000,7.5
123,9613,6.6
123,406,8.087
123,926,7.057
123,780609,6.1
123,945961,7.222
123,655,8.1
123,12526,6.133
123,376570,6.728
123,1100782,6.6
123,1058,5.8
123,144,7.8
123,11906,7.5
123,470229,6.895
123,567609,7.0
123,9009,5.663
123,1084736,8.1
123,213,8.0
123,739474,6.0
123,11072,7.239
123,570670,7.1
123,933260,7.141
123,218,7.663
123,1114513,7.26
123,698687,8.1
123,863873,7.3
123,882598,6.666
123,124905,6.3
123,838209,7.5
123,60672,6.103
123,1184918,8.345
123,71112,3.5
123,16871,6.4
123,10436,7.0
123,9299,7.5
123,23202,7.0
123,2675,6.7
123,533535,7.627
123,7978,5.9
123,9725,6.2
123,945961,7.222
123,381,7.277
123,377,7.341
123,11683,6.188
123,14372,6.0
123,917496,7.071
123,547565,6.6
123,44040,6.1
123,413254,4.0
123,1326059,6.7
123,1329247,0.0
123,15371,7.5
123,533535,7.627
123,440021,6.652
123,9542,7.0
123,9276,6.5
123,1689,6.3
123,1632,7.7
123,498268,0.0
123,11507,6.8
123,11773,7.193
123,12707,6.1
123,2787,6.848
123,726420,6.3
123,4935,8.4
123,1023922,6.3
123,760104,6.748
123,2789,6.532
123,227477,0.0
123,30931,6.5
123,11906,7.5
123,753342,6.366
123,586810,7.522
123,57447,7.3
123,8072,7.0
123,646481,0.0
123,871,7.6
123,10065,6.1
123,57447,7.3
123,4024,7.4
123,39538,6.642
123,1159311,6.66
123,1111873,6.8
123,10150,7.2
123,87362,6.3
123,1278,7.2
123,635,7.13
123,26480,5.898
123,934632,6.1
123,848326,6.276
123,786892,7.5
123,762441,6.8
123,9827,5.4
123,4593,7.5
123,568,7.448
123,799583,7.081
123,11850,7.2
123,1086747,6.452
123,55,7.629
123,1063879,6.7
123,811,6.4
123,10692,6.7
